number,payment_date,amount,currency,exchange_rate,reference,note,payment_method,account_id,contact_id,category_id,attachment_id,editable
"EXP-001","2024-10-05","1500.00","USD","1.00","REF001","","cash","","","","",1
"EXP-002","2024-10-10","1200.00","EUR","1.12","REF002","","credit","","","","",0
"EXP-003","2024-10-15","800.00","USD","1.00","REF003","","bank","","","","",1
"EXP-004","2024-10-20","950.00","EUR","1.15","REF004","","debit","","","","",1
"EXP-005","2024-10-25","500.00","USD","1.00","REF005","","paypal","","","","",0
"EXP-006","2024-10-30","1300.00","EUR","1.10","REF006","","check","","","","",1
"EXP-007","2024-11-01","600.00","USD","1.00","REF007","","other","","","","",0
"EXP-008","2024-11-03","1100.00","EUR","1.08","REF008","","bank","","","","",1
"EXP-009","2024-11-05","750.00","USD","1.00","REF009","","debit","","","","",1
"EXP-010","2024-11-07","1400.00","EUR","1.12","REF010","","cash","","","","",0
